code,titlemerge
f.1070,Time_spent_watching_television_(TV)
f.1080,Time_spent_using_computer
f.1090,Time_spent_driving
f.1100,Drive_faster_than_motorway_speed_limit
f.1110,Length_of_mobile_phone_use
f.1120,Weekly_usage_of_mobile_phone_in_last_3_months
f.1130,Hands-free_device/speakerphone_use_with_mobile_phone_in_last_3_month
f.1140,Difference_in_mobile_phone_use_compared_to_two_years_previously
f.1150,Usual_side_of_head_for_mobile_phone_use
f.1160,Sleep_duration
f.1170,Getting_up_in_morning
f.1180,Morning/evening_person_(chronotype)
f.1190,Nap_during_day
f.1200,Sleeplessness_/_insomnia
f.1210,Snoring
f.1220,Daytime_dozing_/_sleeping_(narcolepsy)
f.1239,Current_tobacco_smoking
f.1249,Past_tobacco_smoking
f.1259,Smoking/smokers_in_household
f.1269,Exposure_to_tobacco_smoke_at_home
f.1279,Exposure_to_tobacco_smoke_outside_home
f.1289,Cooked_vegetable_intake
f.1299,Salad_/_raw_vegetable_intake
f.1309,Fresh_fruit_intake
f.1319,Dried_fruit_intake
f.1329,Oily_fish_intake
f.1339,Non-oily_fish_intake
f.1349,Processed_meat_intake
f.1359,Poultry_intake
f.1369,Beef_intake
f.1379,Lamb/mutton_intake
f.1389,Pork_intake
f.1408,Cheese_intake
f.1418,Milk_type_used
f.1428,Spread_type
f.1438,Bread_intake
f.1448,Bread_type
f.1458,Cereal_intake
f.1468,Cereal_type
f.1478,Salt_added_to_food
f.1488,Tea_intake
f.1498,Coffee_intake
f.1508,Coffee_type
f.1518,Hot_drink_temperature
f.1528,Water_intake
f.1538,Major_dietary_changes_in_the_last_5_years
f.1548,Variation_in_diet
f.1558,Alcohol_intake_frequency.
f.1568,Average_weekly_red_wine_intake
f.1578,Average_weekly_champagne_plus_white_wine_intake
f.1588,Average_weekly_beer_plus_cider_intake
f.1598,Average_weekly_spirits_intake
f.1608,Average_weekly_fortified_wine_intake
f.1618,Alcohol_usually_taken_with_meals
f.1628,Alcohol_intake_versus_10_years_previously
f.1647,Country_of_birth_(UK/elsewhere)
f.1677,Breastfed_as_a_baby
f.1687,Comparative_body_size_at_age_10
f.1697,Comparative_height_size_at_age_10
f.1707,Handedness_(chirality/laterality)
f.1717,Skin_colour
f.1727,Ease_of_skin_tanning
f.1737,Childhood_sunburn_occasions
f.1747,Hair_colour_(natural_before_greying)
f.1757,Facial_ageing
f.1767,Adopted_as_a_child
f.1777,Part_of_a_multiple_birth
f.1787,Maternal_smoking_around_birth
f.1797,Father_still_alive
f.1807,Father's_age_at_death
f.1835,Mother_still_alive
f.1845,Mother's_age
f.1873,Number_of_full_brothers
f.1883,Number_of_full_sisters
f.1920,Mood_swings
f.1930,Miserableness
f.1940,Irritability
f.1950,Sensitivity_/_hurt_feelings
f.1960,Fed-up_feelings
f.1970,Nervous_feelings
f.1980,Worrier_/_anxious_feelings
f.1990,Tense_/_'highly_strung'
f.2000,Worry_too_long_after_embarrassment
f.2010,Suffer_from_'nerves'
f.2020,Loneliness_isolation
f.2030,Guilty_feelings
f.2040,Risk_taking
f.2050,Frequency_of_depressed_mood_in_last_2_weeks
f.2060,Frequency_of_unenthusiasm_/_disinterest_in_last_2_weeks
f.2070,Frequency_of_tenseness_/_restlessness_in_last_2_weeks
f.2080,Frequency_of_tiredness_/_lethargy_in_last_2_weeks
f.2090,Seen_doctor_(GP)_for_nerves_anxiety_tension_or_depression
f.2100,Seen_a_psychiatrist_for_nerves_anxiety_tension_or_depression
f.2110,Able_to_confide
f.2129,Answered_sexual_history_questions
f.2139,Age_first_had_sexual_intercourse
f.2149,Lifetime_number_of_sexual_partners
f.2159,Ever_had_same-sex_intercourse
f.2178,Overall_health_rating
f.2188,Long-standing_illness_disability_or_infirmity
f.2207,Wears_glasses_or_contact_lenses
f.2217,Age_started_wearing_glasses_or_contact_lenses
f.2227,Other_eye_problems
f.2237,Plays_computer_games
f.2247,Hearing_difficulty/problems
f.2257,Hearing_difficulty/problems_with_background_noise
f.2267,Use_of_sun/uv_protection
f.2277,Frequency_of_solarium/sunlamp_use
f.2296,Falls_in_the_last_year
f.2306,Weight_change_compared_with_1_year_ago
f.2316,Wheeze_or_whistling_in_the_chest_in_last_year
f.2335,Chest_pain_or_discomfort
f.2345,Ever_had_bowel_cancer_screening
f.2355,Most_recent_bowel_cancer_screening
f.2365,Ever_had_prostate_specific_antigen_(PSA)_test
f.2375,Relative_age_of_first_facial_hair
f.2385,Relative_age_voice_broke
f.2395,Hair/balding_pattern
f.2405,Number_of_children_fathered
f.2415,Had_major_operations
f.2443,Diabetes_diagnosed_by_doctor
f.2453,Cancer_diagnosed_by_doctor
f.2463,Fractured/broken_bones_in_last_5_years
f.2473,Other_serious_medical_condition/disability_diagnosed_by_doctor
f.2492,Taking_other_prescription_medications
f.2624,Frequency_of_heavy_DIY_in_last_4_weeks
f.2634,Duration_of_heavy_DIY
f.2644,Light_smokers_at_least_100_smokes_in_lifetime
f.2654,Non-butter_spread_type_details
f.2664,Reason_for_reducing_amount_of_alcohol_drunk
f.2674,Ever_had_breast_cancer_screening_/_mammogram
f.2684,Years_since_last_breast_cancer_screening_/_mammogram
f.2694,Ever_had_cervical_smear_test
f.2704,Years_since_last_cervical_smear_test
f.2714,Age_when_periods_started_(menarche)
f.2724,Had_menopause
f.2734,Number_of_live_births
f.2744,Birth_weight_of_first_child
f.2754,Age_at_first_live_birth
f.2764,Age_at_last_live_birth
f.2774,Ever_had_stillbirth_spontaneous_miscarriage_or_termination
f.2784,Ever_taken_oral_contraceptive_pill
f.2794,Age_started_oral_contraceptive_pill
f.2804,Age_when_last_used_oral_contraceptive_pill
f.2814,Ever_used_hormone-replacement_therapy_(HRT)
f.2824,Age_at_hysterectomy
f.2834,Bilateral_oophorectomy_(both_ovaries_removed)
f.2844,Had_other_major_operations
f.2867,Age_started_smoking_in_former_smokers
f.2877,Type_of_tobacco_previously_smoked
f.2887,Number_of_cigarettes_previously_smoked_daily
f.2897,Age_stopped_smoking
f.2907,Ever_stopped_smoking_for_6+_months
f.2926,Number_of_unsuccessful_stop-smoking_attempts
f.2936,Likelihood_of_resuming_smoking
f.2946,Father's_age
f.2956,General_pain_for_3+_months
f.2966,Age_high_blood_pressure_diagnosed
f.2976,Age_diabetes_diagnosed
f.2986,Started_insulin_within_one_year_diagnosis_of_diabetes
f.3005,Fracture_resulting_from_simple_fall
f.3059,Result_ranking
f.3060,Time_of_blow_measurement
f.3061,Acceptability_of_each_blow_result
f.3062,Forced_vital_capacity_(FVC)
f.3063,Forced_expiratory_volume_in_1-second_(FEV1)
f.3064,Peak_expiratory_flow_(PEF)
f.3065,Ordering_of_blows
f.3066,Data_points_for_blow
f.3077,Seating_box_height
f.3079,Pace-maker
f.3081,Foot_measured_for_bone_density
f.3082,Fractured_heel
f.3083,Heel_quantitative_ultrasound_index_(QUI)_manual_entry
f.3084,Heel_bone_mineral_density_(BMD)_manual_entry
f.3085,Heel_Broadband_ultrasound_attenuation_(BUA)_manual_entry
f.3086,Speed_of_sound_through_heel_manual_entry
f.3088,Contra-indications_for_spirometry
f.3089,Caffeine_drink_within_last_hour
f.3090,Used_an_inhaler_for_chest_within_last_hour
f.3132,Spirometry_device_serial_number
f.3137,Number_of_measurements_made
f.3140,Pregnant
f.3143,Ankle_spacing_width
f.3144,Heel_Broadband_ultrasound_attenuation_direct_entry
f.3146,Speed_of_sound_through_heel
f.3147,Heel_quantitative_ultrasound_index_(QUI)_direct_entry
f.3148,Heel_bone_mineral_density_(BMD)
f.3159,Smoked_cigarette_or_pipe_within_last_hour
f.3160,Weight_manual_entry
f.3166,Time_blood_sample_collected
f.3393,Hearing_aid_user
f.3404,Neck/shoulder_pain_for_3+_months
f.3414,Hip_pain_for_3+_months
f.3426,Job_involves_night_shift_work
f.3436,Age_started_smoking_in_current_smokers
f.3446,Type_of_tobacco_currently_smoked
f.3456,Number_of_cigarettes_currently_smoked_daily_(current_cigarette_smokers)
f.3466,Time_from_waking_to_first_cigarette
f.3476,Difficulty_not_smoking_for_1_day
f.3486,Ever_tried_to_stop_smoking
f.3496,Wants_to_stop_smoking
f.3506,Smoking_compared_to_10_years_previous
f.3526,Mother's_age_at_death
f.3536,Age_started_hormone-replacement_therapy_(HRT)
f.3546,Age_last_used_hormone-replacement_therapy_(HRT)
f.3571,Back_pain_for_3+_months
f.3581,Age_at_menopause_(last_menstrual_period)
f.3591,Ever_had_hysterectomy_(womb_removed)
f.3606,Chest_pain_or_discomfort_walking_normally
f.3616,Chest_pain_due_to_walking_ceases_when_standing_still
f.3627,Age_angina_diagnosed
f.3637,Frequency_of_other_exercises_in_last_4_weeks
f.3647,Duration_of_other_exercises
f.3659,Year_immigrated_to_UK_(United_Kingdom)
f.3669,Lifetime_number_of_same-sex_sexual_partners
f.3680,Age_when_last_ate_meat
f.3700,Time_since_last_menstrual_period
f.3710,Length_of_menstrual_cycle
f.3720,Menstruating_today
f.3731,Former_alcohol_drinker
f.3741,Stomach/abdominal_pain_for_3+_months
f.3751,Chest_pain_or_discomfort_when_walking_uphill_or_hurrying
f.3761,Age_hay_fever_rhinitis_or_eczema_diagnosed
f.3773,Knee_pain_for_3+_months
f.3786,Age_asthma_diagnosed
f.3799,Headaches_for_3+_months
f.3809,Time_since_last_prostate_specific_antigen_(PSA)_test
f.3829,Number_of_stillbirths
f.3839,Number_of_spontaneous_miscarriages
f.3849,Number_of_pregnancy_terminations
f.3859,Reason_former_drinker_stopped_drinking_alcohol
f.3872,Age_of_primiparous_women_at_birth_of_child
f.3882,Age_at_bilateral_oophorectomy_(both_ovaries_removed)
f.3894,Age_heart_attack_diagnosed
f.3912,Adopted_father_still_alive
f.3942,Adopted_mother_still_alive
f.3972,Number_of_adopted_brothers
f.3982,Number_of_adopted_sisters
f.3992,Age_emphysema/chronic_bronchitis_diagnosed
f.4012,Age_deep-vein_thrombosis_(DVT_blood_clot_in_leg)_diagnosed
f.4022,Age_pulmonary_embolism_(blood_clot_in_lung)_diagnosed
f.4041,Gestational_diabetes_only
f.4056,Age_stroke_diagnosed
f.4067,Facial_pains_for_3+_months
f.4079,Diastolic_blood_pressure_automated_reading
f.4080,Systolic_blood_pressure_automated_reading
f.4081,Method_of_measuring_blood_pressure
f.4092,Heel_ultrasound_method_(left)
f.4093,Fractured_heel_(left)
f.4095,Heel_ultrasound_method_(right)
f.4096,Fractured_heel_(right)
f.4100,Ankle_spacing_width_(left)
f.4101,Heel_broadband_ultrasound_attenuation_(left)
f.4103,Speed_of_sound_through_heel_(left)
f.4104,Heel_quantitative_ultrasound_index_(QUI)_direct_entry_(left)
f.4105,Heel_bone_mineral_density_(BMD)_(left)
f.4106,Heel_bone_mineral_density_(BMD)_T-score_automated_(left)
f.4119,Ankle_spacing_width_(right)
f.4120,Heel_broadband_ultrasound_attenuation_(right)
f.4122,Speed_of_sound_through_heel_(right)
f.4123,Heel_quantitative_ultrasound_index_(QUI)_direct_entry_(right)
f.4124,Heel_bone_mineral_density_(BMD)_(right)
f.4125,Heel_bone_mineral_density_(BMD)_T-score_automated_(right)
f.4136,Arterial_pulse-wave_stiffness_device_ID
f.4138,Heel_bone_mineral_density_(BMD)_T-score_manual_entry_(left)
f.4139,Heel_quantitative_ultrasound_index_(QUI)_manual_entry_(left)
f.4140,Heel_bone_mineral_density_(BMD)_manual_entry_(left)
f.4141,Heel_broadband_ultrasound_attenuation_(BUA)_manual_entry_(left)
f.4142,Speed_of_sound_through_heel_manual_entry_(left)
f.4143,Heel_bone_mineral_density_(BMD)_T-score_manual_entry_(right)
f.4144,Heel_quantitative_ultrasound_index_(QUI)_manual_entry_(right)
f.4145,Heel_bone_mineral_density_(BMD)_manual_entry_(right)
f.4146,Heel_broadband_ultrasound_attenuation_(BUA)_manual_entry_(right)
f.4147,Speed_of_sound_through_heel_manual_entry_(right)
f.4186,Stiffness_method
f.4194,Pulse_rate
f.4195,Pulse_wave_reflection_index
f.4196,Pulse_wave_peak_to_peak_time
f.4198,Position_of_the_pulse_wave_peak
f.4199,Position_of_pulse_wave_notch
f.4200,Position_of_the_shoulder_on_the_pulse_waveform
f.4204,Absence_of_notch_position_in_the_pulse_waveform
f.4205,Pulse_wave_pressure_versus_time_response_curve
f.4206,Arterial_stiffness_device_ID
f.4207,Pulse_wave_velocity_(manual_entry)
f.4229,Triplet_played_(left)
f.4230,Signal-to-noise-ratio_(SNR)_of_triplet_(left)
f.4232,Triplet_correct_(left)
f.4233,Mean_signal-to-noise_ratio_(SNR)_(left)
f.4234,Time_to_press_first_digit_(left)
f.4235,Time_to_press_last_digit_(left)
f.4236,Triplet_entered_(left)
f.4237,Time_to_press_'next'_(left)
f.4238,Keystroke_history_(left)
f.4239,Number_of_times_'clear'_was_pressed_(left)
f.4240,Triplet_played_(right)
f.4241,Signal-to-noise-ratio_(SNR)_of_triplet_(right)
f.4242,Triplet_entered_(right)
f.4243,Triplet_correct_(right)
f.4244,Mean_signal-to-noise_ratio_(SNR)_(right)
f.4245,Time_to_press_first_digit_(right)
f.4246,Time_to_press_last_digit_(right)
f.4247,Time_to_press_'next'_(right)
f.4248,Keystroke_history_(right)
f.4249,Number_of_times_'clear'_was_pressed_(right)
f.4250,Number_of_digits_to_be_memorised/recalled
f.4251,Target_number_to_be_memorised
f.4252,Target_number_to_be_entered
f.4253,Time_number_displayed_for
f.4254,Time_first_key_touched
f.4255,Time_last_key_touched
f.4256,Time_elapsed
f.4257,Keystroke_history
f.4258,Number_entered_by_participant
f.4259,Digits_entered_correctly
f.4260,Round_of_numeric_memory_test
f.4268,Completion_status_(left)
f.4269,Number_of_triplets_attempted_(left)
f.4270,Volume_level_set_by_participant_(left)
f.4272,Duration_of_hearing_test_(left)
f.4275,Completion_status_(right)
f.4276,Number_of_triplets_attempted_(right)
f.4277,Volume_level_set_by_participant_(right)
f.4279,Duration_of_hearing_test_(right)
f.4281,Completion_status_of_numeric_memory_test
f.4282,Maximum_digits_remembered_correctly
f.4283,Number_of_rounds_of_numeric_memory_test_performed
f.4285,Time_to_complete_test
f.4286,Time_when_initial_screen_shown
f.4287,Test_completion_status
f.4288,Time_to_answer
f.4289,Time_screen_exited
f.4290,Duration_screen_displayed
f.4291,Number_of_attempts
f.4292,PM:_initial_answer
f.4293,PM:_final_answer
f.4294,Final_attempt_correct
f.4295,History_of_attempts
f.4407,Average_monthly_red_wine_intake
f.4418,Average_monthly_champagne_plus_white_wine_intake
f.4429,Average_monthly_beer_plus_cider_intake
f.4440,Average_monthly_spirits_intake
f.4451,Average_monthly_fortified_wine_intake
f.4462,Average_monthly_intake_of_other_alcoholic_drinks
f.4501,Non-accidental_death_in_close_genetic_family
f.4526,Happiness
f.4537,Work/job_satisfaction
f.4548,Health_satisfaction
f.4559,Family_relationship_satisfaction
f.4570,Friendships_satisfaction
f.4581,Financial_situation_satisfaction
f.4598,Ever_depressed_for_a_whole_week
f.4609,Longest_period_of_depression
f.4620,Number_of_depression_episodes
f.4631,Ever_unenthusiastic/disinterested_for_a_whole_week
f.4642,Ever_manic/hyper_for_2_days
f.4653,Ever_highly_irritable/argumentative_for_2_days
f.4674,Private_healthcare
f.4689,Age_glaucoma_diagnosed
f.4700,Age_cataract_diagnosed
f.4717,Shortness_of_breath_walking_on_level_ground
f.4728,Leg_pain_on_walking
f.4792,Cochlear_implant
f.4803,Tinnitus
f.4814,Tinnitus_severity/nuisance
f.4825,Noisy_workplace
f.4836,Loud_music_exposure_frequency
f.4849,Hearing_test_done
f.4924,Attempted_fluid_intelligence_(FI)_test.
f.4935,FI1_:_numeric_addition_test
f.4946,FI2_:_identify_largest_number
f.4957,FI3_:_word_interpolation
f.4968,FI4_:_positional_arithmetic
f.4979,FI5_:_family_relationship_calculation
f.4990,FI6_:_conditional_arithmetic
f.5001,FI7_:_synonym
f.5012,FI8_:_chained_arithmetic
f.5057,Number_of_older_siblings
f.5074,Number_of_letters_shown_in_round_(left)
f.5075,Number_of_letters_shown_in_round_(right)
f.5076,Number_of_letters_correct_in_round_(right)
f.5077,Number_of_letters_correct_in_round_(left)
f.5078,logMAR_in_round_(left)
f.5079,logMAR_in_round_(right)
f.5080,Displayed_letters_in_round_(right)
f.5081,Displayed_letters_in_round_(left)
f.5082,Visual_acuity_result_in_round_(left)
f.5083,Visual_acuity_result_in_round_(right)
f.5084,Spherical_power_(right)
f.5085,Spherical_power_(left)
f.5086,Cylindrical_power_(left)
f.5087,Cylindrical_power_(right)
f.5088,Astigmatism_angle_(right)
f.5089,Astigmatism_angle_(left)
f.5090,Refractometry_result_unreliable_(left)
f.5091,Refractometry_result_unreliable_(right)
f.5096,3mm_weak_meridian_(left)
f.5097,6mm_weak_meridian_(left)
f.5098,6mm_weak_meridian_(right)
f.5099,3mm_weak_meridian_(right)
f.5100,3mm_weak_meridian_angle_(right)
f.5101,6mm_weak_meridian_angle_(right)
f.5102,6mm_weak_meridian_angle_(left)
f.5103,3mm_weak_meridian_angle_(left)
f.5104,3mm_strong_meridian_angle_(left)
f.5105,6mm_strong_meridian_angle_(left)
f.5106,6mm_strong_meridian_angle_(right)
f.5107,3mm_strong_meridian_angle_(right)
f.5108,3mm_asymmetry_angle_(right)
f.5109,6mm_asymmetry_angle_(right)
f.5110,6mm_asymmetry_angle_(left)
f.5111,3mm_asymmetry_angle_(left)
f.5112,3mm_cylindrical_power_angle_(left)
f.5113,6mm_cylindrical_power_angle_(left)
f.5114,6mm_cylindrical_power_angle_(right)
f.5115,3mm_cylindrical_power_angle_(right)
f.5116,3mm_cylindrical_power_(right)
f.5117,6mm_cylindrical_power_(right)
f.5118,6mm_cylindrical_power_(left)
f.5119,3mm_cylindrical_power_(left)
f.5132,3mm_strong_meridian_(right)
f.5133,6mm_strong_meridian_(right)
f.5134,6mm_strong_meridian_(left)
f.5135,3mm_strong_meridian_(left)
f.5136,3mm_keratometry_result_unreliable_(left)
f.5138,6mm_keratometry_result_unreliable_(left)
f.5139,6mm_keratometry_result_unreliable_(right)
f.5140,3mm_keratometry_result_unreliable_(right)
f.5141,3mm_asymmetry_index_unreliable_(left)
f.5142,6mm_asymmetry_index_unreliable_(left)
f.5143,6mm_asymmetry_index_unreliable_(right)
f.5144,3mm_asymmetry_index_unreliable_(right)
f.5145,3mm_regularity_index_unreliable_(right)
f.5146,6mm_regularity_index_unreliable_(right)
f.5147,6mm_regularity_index_unreliable_(left)
f.5148,3mm_regularity_index_unreliable_(left)
f.5149,3mm_regularity_index_for_irregular_astigmatism_level_(left)
f.5152,3mm_asymmetry_index_for_irregular_astigmatism_level_(right)
f.5155,3mm_asymmetry_index_for_irregular_astigmatism_level_(left)
f.5156,3mm_asymmetry_index_(left)
f.5157,6mm_asymmetry_index_(left)
f.5158,6mm_asymmetry_index_(right)
f.5159,3mm_asymmetry_index_(right)
f.5160,3mm_regularity_index_(right)
f.5161,6mm_regularity_index_(right)
f.5162,6mm_regularity_index_(left)
f.5163,3mm_regularity_index_(left)
f.5164,3mm_regularity_index_for_irregular_astigmatism_level_(right)
f.5181,Ever_had_eye_surgery
f.5182,Both_eyes_present
f.5183,Current_eye_infection
f.5185,Visual_acuity_measured_(right)
f.5186,Duration_visual-acuity_screen_displayed_(right)
f.5187,Visual_acuity_measured_(left)
f.5188,Duration_visual-acuity_screen_displayed_(left)
f.5189,Auto-refraction_method_(right)
f.5190,Duration_at_which_refractometer_first_shown_(right)
f.5191,Auto-refraction_method_(left)
f.5193,Duration_at_which_refractometer_first_shown_(left)
f.5194,Intra-ocular_pressure_(IOP)_method_(right)
f.5196,Intra-ocular_pressure_(IOP)_method_(left)
f.5198,Eye_measures_duration
f.5199,logMAR_initial_(right)
f.5200,Final_number_of_letters_displayed_(right)
f.5201,logMAR_final_(right)
f.5202,Number_of_rounds_to_result_(right)
f.5204,Distance_of_viewer_to_screen_(right)
f.5205,Direct_or_mirror_view_(right)
f.5206,logMAR_initial_(left)
f.5207,Final_number_of_letters_displayed_(left)
f.5208,logMAR_final_(left)
f.5209,Number_of_rounds_to_result_(left)
f.5211,Distance_of_viewer_to_screen_(left)
f.5212,Direct_or_mirror_view_(left)
f.5214,Auto-refractor_device_ID_(right)
f.5215,Vertex_distance_(right)
f.5221,Index_of_best_refractometry_result_(right)
f.5237,3mm_index_of_best_keratometry_results_(right)
f.5251,6mm_index_of_best_keratometry_results_(right)
f.5253,Intra-ocular_pressure_device_ID_(right)
f.5254,Intra-ocular_pressure_corneal-compensated_(right)
f.5255,Intra-ocular_pressure_Goldmann-correlated_(right)
f.5256,Corneal_hysteresis_(right)
f.5257,Corneal_resistance_factor_(right)
f.5258,Applanation_curve_(right)
f.5259,Pressure_curve_(right)
f.5261,Intra-ocular_pressure_device_ID_(left)
f.5262,Intra-ocular_pressure_corneal-compensated_(left)
f.5263,Intra-ocular_pressure_Goldmann-correlated_(left)
f.5264,Corneal_hysteresis_(left)
f.5265,Corneal_resistance_factor_(left)
f.5266,Applanation_curve_(left)
f.5267,Pressure_curve_(left)
f.5270,Optical-coherence_tomography_device_ID
f.5273,Auto-refractor_device_ID_(left)
f.5274,Vertex_distance_(left)
f.5276,Index_of_best_refractometry_result_(left)
f.5292,3mm_index_of_best_keratometry_results_(left)
f.5306,6mm_index_of_best_keratometry_results_(left)
f.5324,Ever_had_cataract_surgery
f.5325,Ever_had_refractive_laser_eye_surgery
f.5326,Ever_had_surgery_for_glaucoma_or_high_eye_pressure
f.5327,Ever_had_laser_treatment_for_glaucoma_or_high_eye_pressure
f.5328,Ever_had_corneal_graft_surgery
f.5364,Average_weekly_intake_of_other_alcoholic_drinks
f.5375,Longest_period_of_unenthusiasm_/_disinterest
f.5386,Number_of_unenthusiastic/disinterested_episodes
f.5408,Which_eye(s)_affected_by_amblyopia_(lazy_eye)
f.5419,Which_eye(s)_affected_by_injury_or_trauma_resulting_in_loss_of_vision
f.5430,Age_when_loss_of_vision_due_to_injury_or_trauma_diagnosed
f.5441,Which_eye(s)_are_affected_by_cataract
f.5452,Leg_pain_when_standing_still_or_sitting
f.5463,Leg_pain_in_calf/calves
f.5474,Leg_pain_when_walking_uphill_or_hurrying
f.5485,Leg_pain_when_walking_normally
f.5496,Leg_pain_when_walking_ever_disappears_while_walking
f.5507,Leg_pain_on_walking_:_action_taken
f.5518,Leg_pain_on_walking_:_effect_of_standing_still
f.5529,Surgery_on_leg_arteries_(other_than_for_varicose_veins)
f.5540,Surgery/amputation_of_toe_or_leg
f.5556,FI9_:_concept_interpolation
f.5610,Which_eye(s)_affected_by_presbyopia
f.5663,Length_of_longest_manic/irritable_episode
f.5674,Severity_of_manic/irritable_episodes
f.5699,FI10_:_arithmetic_sequence_recognition
f.5779,FI11_:_antonym
f.5790,FI12_:_square_sequence_recognition
f.5832,Which_eye(s)_affected_by_hypermetropia_(long_sight)
f.5843,Which_eye(s)_affected_by_myopia_(short_sight)
f.5855,Which_eye(s)_affected_by_astigmatism
f.5866,FI13_:_subset_inclusion_logic
f.5877,Which_eye(s)_affected_by_other_eye_condition
f.5890,Which_eye(s)_affected_by_diabetes-related_eye_disease
f.5901,Age_when_diabetes-related_eye_disease_diagnosed
f.5912,Which_eye(s)_affected_by_macular_degeneration
f.5923,Age_macular_degeneration_diagnosed
f.5934,Which_eye(s)_affected_by_other_serious_eye_condition
f.5945,Age_other_serious_eye_condition_diagnosed
f.5959,Previously_smoked_cigarettes_on_most/all_days
f.5983,ECG_heart_rate
f.5984,ECG_load
f.5985,Bicycle_speed
f.5986,ECG_phase_time
f.5987,ECG_trend_phase_name
f.5988,ECG_stage_name
f.5991,ECG_phase_name
f.5992,ECG_phase_duration
f.5993,ECG_number_of_stages_in_a_phase
f.6014,Doctor_restricts_physical_activity_due_to_heart_condition
f.6015,Chest_pain_felt_during_physical_activity
f.6016,Chest_pain_felt_outside_physical_activity
f.6017,Able_to_walk_or_cycle_unaided_for_10_minutes
f.6019,ECG/bike_method_for_fitness_test
f.6020,Completion_status_of_test
